Con,Lab,LD,Green,BXP/Reform,date_published,date_ordinals
30.0,42.0,14.0,6.0,2.0,2022-08-09,738376
34.0,41.0,12.0,5.0,3.0,2022-08-15,738382
30.0,39.0,12.0,6.0,4.0,2022-08-17,738384
32.0,42.0,11.0,5.0,3.0,2022-08-19,738386
28.0,43.0,11.0,7.0,4.0,2022-08-20,738387
31.0,43.0,13.0,5.0,3.0,2022-08-22,738389
31.0,43.0,11.0,6.0,2.0,2022-08-24,738391
33.0,42.0,12.0,5.0,2.0,2022-08-25,738392
33.0,40.0,14.0,6.0,2.0,2022-08-25,738392
33.0,42.0,13.0,4.0,4.0,2022-08-29,738396
31.0,44.0,12.0,4.0,2.0,2022-08-31,738398
33.0,42.0,9.0,5.0,3.0,2022-09-02,738400
34.0,41.0,9.0,4.0,3.0,2022-09-03,738401
33.0,39.0,12.0,7.0,2.0,2022-09-05,738403
32.0,40.0,13.0,5.0,4.0,2022-09-06,738404
28.0,40.0,9.0,7.0,4.0,2022-09-09,738407
30.0,48.0,9.0,6.0,4.0,2022-09-12,738410
32.0,44.0,9.0,4.0,2.0,2022-09-14,738412
32.0,42.0,10.0,7.0,2.0,2022-09-14,738412
32.0,42.0,10.0,6.0,2.0,2022-09-20,738418
34.0,42.0,10.0,5.0,3.0,2022-09-20,738418
30.0,40.0,13.0,8.0,1.0,2022-09-22,738420
28.0,40.0,10.0,8.0,4.0,2022-09-23,738421
32.0,40.0,9.0,8.0,3.0,2022-09-23,738421
32.0,42.0,12.0,5.0,4.0,2022-09-23,738421
33.0,45.0,10.0,4.0,3.0,2022-09-25,738423
31.0,44.0,11.0,6.0,2.0,2022-09-26,738424
31.0,44.0,12.0,4.0,2.0,2022-09-27,738425
28.0,45.0,9.0,7.0,3.0,2022-09-27,738425
28.0,45.0,11.0,6.0,3.0,2022-09-28,738426
21.0,54.0,7.0,6.0,4.0,2022-09-29,738427
28.0,49.0,11.0,1.0,2.0,2022-09-29,738427
35.0,39.0,10.0,4.0,3.0,2022-09-29,738427
29.0,46.0,13.0,4.0,4.0,2022-09-29,738427
29.0,48.0,9.0,4.0,2.0,2022-09-29,738427
23.0,55.0,7.0,5.0,3.0,2022-09-30,738428
20.0,50.0,9.0,8.0,3.0,2022-09-30,738428
30.0,47.0,9.0,5.0,3.0,2022-09-30,738428
32.0,44.0,10.0,5.0,4.0,2022-09-30,738428
35.0,39.0,12.0,5.0,4.0,2022-10-01,738429
33.0,39.0,10.0,7.0,4.0,2022-10-03,738431
34.0,39.0,11.0,3.0,3.0,2022-10-05,738433
