,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/ PC Vote,Other Vote,Total votes,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
69,77,BLACKBURN,North West,0.33,0.48,0.14,,,24427.0,,,,,,,,,,,,,,1778.0,0.04,,42049,0.7820596276526494
70,78,BLACKPOOL NORTH,North West,0.55,0.36,,,,43482.0,,,,,,,,,,,,,,3720.0,0.09,,43450,0.7330116742020379
71,79,BLACKPOOL SOUTH,North West,0.46,0.27,0.27,,,35223.0,,,,,,,,,,,,,,229.0,0.01,,44091,0.766053930085482
72,80,BLAYDON,North East,0.41,0.59,,,,30819.0,,,,,,,,,,,,,,,,,37984,0.6724617154996901
73,81,BLYTH,North East,0.15,0.29,0.17,,,42458.0,,,,,,,,,,,,,,22918.0,0.39,,58798,0.7945246202907951
74,82,BODMIN,South West,0.44,0.12,0.44,,,48267.0,,,,,,,,,,,,,,,,,45885,0.8329551436818124
75,83,BOLSOVER,East Midlands,0.24,0.76,,,,53289.0,,,,,,,,,,,,,,,,,40261,0.7837911499600911
76,84,BOLTON EAST,North West,0.38,0.41,0.18,,,67957.0,,,,,,,,,,,,,,1259.0,0.03,,48040,0.805769875880577
77,85,BOLTON WEST,North West,0.41,0.39,0.2,,,76597.0,,,,,,,,,,,,,,,,,40785,0.8105932624465865
78,86,BOOTLE,North West,0.27,0.59,0.13,,,22603.0,,,,,,,,,,,,,,586.0,0.01,,46511,0.7331609892968048
79,87,BOSWORTH,East Midlands,0.39,0.37,0.24,,,31975.0,,,,,,,,,,,,,,,,,71474,0.8598893166506256
80,88,BOTHWELL,Scotland,0.27,0.47,0.11,,0.14,41239.0,,,,,,,,,,,,,,562.0,0.01,,47685,0.8123924561732286
81,89,BOURNEMOUTH EAST,South East,0.5,0.17,0.29,,,61143.0,,,,,,,,,,,,,,1709.0,0.04,,44456,0.785997171145686
82,90,BOURNEMOUTH WEST,South East,0.51,0.22,0.27,,,72148.0,,,,,,,,,,,,,,,,,46190,0.7606422396047756
83,91,BRADFORD NORTH,Yorkshire and the Humber,0.31,0.43,0.25,,,51286.0,,,,,,,,,,,,,,386.0,0.01,,51646,0.7884404005862238
84,92,BRADFORD SOUTH,Yorkshire and the Humber,0.32,0.45,0.22,,,62412.0,,,,,,,,,,,,,,749.0,0.01,,57807,0.7967664571617599
85,93,BRADFORD WEST,Yorkshire and the Humber,0.39,0.43,0.15,,,27501.0,,,,,,,,,,,,,,1364.0,0.03,,47935,0.7711923033608443
86,94,BRAINTREE,Eastern,0.38,0.34,0.28,,,32574.0,,,,,,,,,,,,,,,,,54797,0.8433551365909966
87,95,BRECON & RADNOR,Wales,0.35,0.4,0.19,0.05,,53434.0,,,,,,,,,,,,,,,,,44923,0.8341162708654399
88,96,BRENT EAST,London,0.31,0.49,0.19,,,39053.0,,,,,,,,,,,,,,,,,42708,0.6802695082907249
89,97,BRENT NORTH,London,0.45,0.31,0.22,,,39225.0,,,,,,,,,,,,,,1570.0,0.03,,57566,0.8051864492125214
90,98,BRENT SOUTH,London,0.28,0.53,0.13,,,49448.0,,,,,,,,,,,,,,2232.0,0.05,,43362,0.7137072881690697
91,99,BRENTFORD & ISLEWORTH,London,0.41,0.39,0.17,,,40725.0,,,,,,,,,,,,,,1741.0,0.03,,55897,0.7902311444122428
92,100,BRENTWOOD & ONGAR,Eastern,0.47,0.26,0.28,,,40373.0,,,,,,,,,,,,,,,,,48395,0.838269936950045
93,101,BRIDGWATER,South West,0.44,0.3,0.27,,,62489.0,,,,,,,,,,,,,,,,,56885,0.8225011205737337
94,102,BRIDLINGTON,Yorkshire and the Humber,0.51,0.19,0.29,,,58675.0,,,,,,,,,,,,,,,,,50206,0.7690634478110352
95,103,BRIGG & SCUNTHORPE,Yorkshire and the Humber,0.37,0.41,0.22,,,58074.0,,,,,,,,,,,,,,,,,70016,0.7835448420958392
96,104,BRIGHOUSE & SPENBOROUGH,Yorkshire and the Humber,0.38,0.41,0.2,,,16362.0,,,,,,,,,,,,,,169.0,0.0,,53866,0.8530660078550615
97,105,BRIGHTON KEMPTOWN,South East,0.46,0.38,0.16,,,34786.0,,,,,,,,,,,,,,170.0,0.0,,51112,0.787817133697093
98,106,BRIGHTON PAVILION,South East,0.5,0.26,0.23,,,29378.0,,,,,,,,,,,,,,428.0,0.01,,43394,0.7615387315292549
99,107,BRISTOL NORTH EAST,South West,0.32,0.47,0.21,,,56262.0,,,,,,,,,,,,,,,,,39290,0.7610064111255302
100,108,BRISTOL NORTH WEST,South West,0.4,0.39,0.21,,,60647.0,,,,,,,,,,,,,,440.0,0.01,,54240,0.8256336098637643
101,109,BRISTOL SOUTH,South West,0.26,0.55,0.17,,,44517.0,,,,,,,,,,,,,,1006.0,0.02,,45156,0.7477025483085789
102,110,BRISTOL SOUTH EAST,South West,0.33,0.47,0.17,,,31549.0,,,,,,,,,,,,,,1425.0,0.03,,56463,0.8192066624107713
103,111,BRISTOL WEST,South West,0.48,0.22,0.3,,,36254.0,,,,,,,,,,,,,,,,,43742,0.7274208837077811
104,112,BROMSGROVE & REDDITCH,West Midlands,0.45,0.4,0.15,,,60190.0,,,,,,,,,,,,,,,,,73387,0.8427537896187414
105,113,BUCKINGHAM,South East,0.41,0.36,0.23,,,77907.0,,,,,,,,,,,,,,,,,66754,0.852890070015843
106,114,BURNLEY,North West,0.27,0.5,0.23,,,74931.0,,,,,,,,,,,,,,,,,41847,0.7973439018348799
107,115,BURTON,West Midlands,0.53,0.47,,,,65695.0,,,,,,,,,,,,,,,,,53383,0.7947683420676512
108,116,BURY & RADCLIFFE,North West,0.5,0.5,,,,74551.0,,,,,,,,,,,,,,,,,61881,0.802138829476959
109,117,BURY ST EDMUNDS,Eastern,0.47,0.29,0.24,,,44183.0,,,,,,,,,,,,,,,,,70367,0.8125331978476248
110,118,CAERNARVON,Wales,0.17,0.36,0.07,0.41,,44068.0,,,,,,,,,,,,,,,,,34787,0.8242583641361009
111,119,CAERPHILLY,Wales,0.14,0.57,,0.28,,40084.0,,,,,,,,,,,,,,711.0,0.02,,43417,0.7751236320139967
112,120,CAITHNESS & SUTHERLAND,Scotland,0.22,0.36,0.26,,0.16,35562.0,,,,,,,,,,,,,,,,,23714,0.8300024500367505
113,121,CAMBRIDGE,Eastern,0.41,0.33,0.26,,,43607.0,,,,,,,,,,,,,,369.0,0.01,,59422,0.7876723223753976
114,122,CAMBRIDGESHIRE,Eastern,0.47,0.26,0.27,,,35245.0,,,,,,,,,,,,,,,,,69394,0.8281104560968042
115,123,CANNOCK,West Midlands,0.28,0.51,0.21,,,37317.0,,,,,,,,,,,,,,,,,46383,0.8273961362136321
116,124,CANTERBURY,South East,0.5,0.23,0.25,,,37503.0,,,,,,,,,,,,,,831.0,0.01,,68223,0.8024252831653356
117,125,CARDIFF NORTH,Wales,0.43,0.32,0.21,0.05,,36964.0,,,,,,,,,,,,,,,,,34190,0.7857783089333732
118,126,CARDIFF NORTH WEST,Wales,0.47,0.3,0.2,0.03,,56802.0,,,,,,,,,,,,,,,,,35631,0.8206693230762144
119,127,CARDIFF SOUTH EAST,Wales,0.32,0.49,0.07,0.03,,60647.0,,,,,,,,,,,,,,3800.0,0.09,,42168,0.7425904728361363
120,128,CARDIFF WEST,Wales,0.35,0.44,0.15,0.06,,63614.0,,,,,,,,,,,,,,,,,37983,0.7357339325146244
121,129,CARDIGAN,Wales,0.13,0.33,0.4,0.13,,53746.0,,,,,,,,,,,,,,,,,35778,0.836873128742515
122,130,CARLISLE,North West,0.43,0.55,,,,38461.0,,,,,,,,,,,,,,628.0,0.01,,41886,0.8082667592914207
123,131,CARLTON,East Midlands,0.45,0.33,0.19,,,37066.0,,,,,,,,,,,,,,1449.0,0.02,,60183,0.8451362851244892
124,132,CARMARTHEN,Wales,0.12,0.34,0.19,0.34,,18542.0,,,,,,,,,,,,,,,,,50062,0.8348815102646632
125,133,CARSHALTON,London,0.45,0.34,0.21,,,73760.0,,,,,,,,,,,,,,,,,54885,0.8289157718272847
126,134,CHEADLE,North West,0.5,0.12,0.38,,,55958.0,,,,,,,,,,,,,,,,,55472,0.8541775738351144
127,135,CHELMSFORD,Eastern,0.43,0.24,0.33,,,43551.0,,,,,,,,,,,,,,,,,66552,0.8394021567761871
128,136,CHELSEA,London,0.6,0.18,0.21,,,60207.0,,,,,,,,,,,,,,416.0,0.01,,38587,0.5998569807390365
129,137,CHELTENHAM,South West,0.43,0.26,0.31,,,48971.0,,,,,,,,,,,,,,,,,50505,0.813743655844679
130,138,CHERTSEY & WALTON,South East,0.48,0.27,0.25,,,40155.0,,,,,,,,,,,,,,,,,54869,0.8197355643534773
131,139,CHESHAM & AMERSHAM,South East,0.51,0.18,0.31,,,49198.0,,,,,,,,,,,,,,,,,53354,0.8503442560244804
132,140,CHESTER,North West,0.44,0.32,0.24,,,40607.0,,,,,,,,,,,,,,,,,55384,0.8031089585568864
133,141,CHESTERFIELD,East Midlands,0.28,0.55,0.18,,,58217.0,,,,,,,,,,,,,,,,,56621,0.801327502512065
134,142,CHESTER-LE-STREET,North East,0.15,0.59,0.26,,,55888.0,,,,,,,,,,,,,,,,,56633,0.8348270880627376
135,143,CHICHESTER,South East,0.53,0.14,0.32,,,43965.0,,,,,,,,,,,,,,,,,54695,0.7912362931458496
136,144,CHINGFORD,London,0.43,0.31,0.26,,,44787.0,,,,,,,,,,,,,,,,,46219,0.8175000442188302
137,145,CHIPPENHAM,South West,0.44,0.17,0.39,,,51456.0,,,,,,,,,,,,,,,,,55593,0.8263545150501672
138,146,CHIPPING BARNET,London,0.48,0.26,0.25,,,59688.0,,,,,,,,,,,,,,,,,45991,0.8215025721634753
139,147,CHISLEHURST,London,0.46,0.34,0.2,,,37499.0,,,,,,,,,,,,,,,,,44824,0.8435553380883377
140,148,CHORLEY,North West,0.4,0.4,0.2,,,43007.0,,,,,,,,,,,,,,,,,63127,0.836606764206955
141,149,CHRISTCHURCH & LYMINGTON,South West,0.58,0.17,0.25,,,47877.0,,,,,,,,,,,,,,,,,44653,0.8122419281491587
142,150,CIRENCESTER & TEWKESBURY,South West,0.47,0.21,0.32,,,46005.0,,,,,,,,,,,,,,,,,65900,0.8267988206511511
143,151,CITY OF LONDON & WESTMINSTER SOUTH,London,0.53,0.27,0.19,,,42104.0,,,,,,,,,,,,,,213.0,0.01,,31871,0.6135764203068749
