,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/PC Vote,DUP Vote,OUP Vote,Sinn Fein Vote,SDLP Vote,Alliance Vote,Worker's Party Vote,Other Vote,Total votes
242,243,POOLE,South West,0.583146045832613,0.1074742119518239,0.30597975374094777,,,,,,,,0.00339998847461534,52059
243,244,DORSET SOUTH,South West,0.5709528177721055,0.15616400111673912,0.2698719738363977,,,,,,,,0.0030112072747577076,50146
244,245,DORSET WEST,South West,0.597005035780546,0.11414435904231822,0.2888506051771358,,,,,,,,,45276
245,246,CHELTENHAM,South West,0.5056214811606756,0.07605023819835427,0.4100303161541793,,,,,,,,0.00829796448679082,57725
246,247,CIRENCESTER & TEWKESBURY,South West,0.5715571857285762,0.08741247082360787,0.34103034344781596,,,,,,,,,59980
247,248,GLOUCESTER,South West,0.48485873493439674,0.26166527211550444,0.2403197379430667,,,,,,,,0.0131562550070321,56171
248,249,STROUD,South West,0.513060661917335,0.16840199936896993,0.318537338713695,,,,,,,,,60219
249,250,GLOUCESTERSHIRE WEST,South West,0.4583784515430428,0.24654845695722793,0.29507309149972927,,,,,,,,,59104
250,251,BRIDGWATER,South West,0.5226160987489853,0.17743177702379218,0.29995212422722256,,,,,,,,,48041
251,252,SOMERTON & FROME,South West,0.5439374395356337,0.09809335698161883,0.3579692034827475,,,,,,,,,49616
252,253,TAUNTON,South West,0.5288684037249554,0.17868497789483587,0.2924466183802088,,,,,,,,,53155
253,254,WELLS,South West,0.5264959037643887,0.07771440423104843,0.3901275536658716,,,,,,,,0.005662138338691279,48215
254,255,YEOVIL,South West,0.43994842428609354,0.05551973908756495,0.5045318366263415,,,,,,,,,52738
255,256,DEVIZES,South West,0.5394606035339768,0.16784786582432737,0.2889394862585383,,,,,,,,0.0037520443831574896,62366
256,257,WILTSHIRE NORTH,South West,0.5304743116905395,0.04954112702633159,0.40641564456642937,,,,,,,,0.013568916716699546,58295
257,258,SALISBURY,South West,0.5348893211077151,0.05814578123552839,0.40200055570991944,,,,,,,,0.004964341946837084,53985
258,259,SWINDON,South West,0.39162336750456395,0.36713593596405,0.24124069653138605,,,,,,,,,56968
259,260,WESTBURY,South West,0.5141021830311437,0.10003632880874533,0.373641797945771,,,,,,,,0.012219690214339971,60558
260,261,BROMSGROVE,West Midlands,0.5622343532824366,0.2070785407811776,0.2162641258586306,,,,,,,,0.014422980077755172,49643
261,262,HEREFORD,West Midlands,0.48067732366512855,0.07601351351351351,0.43377142386288725,,,,,,,,0.009537738958470666,48544
262,263,LEOMINSTER,West Midlands,0.5699489934976444,0.03761242845461979,0.3794338667601137,,,,,,,,0.013004711287622163,51366
263,264,WORCESTERSHIRE MID,West Midlands,0.5086065203648514,0.2520364851440441,0.2323850808272374,,,,,,,,0.006971913663867064,55365
264,265,WORCESTERSHIRE SOUTH,West Midlands,0.557696940496266,0.07751607582973519,0.3466449233734225,,,,,,,,0.018142060300576322,53963
265,266,WORCESTER,West Midlands,0.49447340134260853,0.22731052386070943,0.27399760683067315,,,,,,,,0.004218467966008883,49307
266,267,WYRE FOREST,West Midlands,0.4836910959037648,0.19204148876021135,0.3242674153360239,,,,,,,,,51291
267,268,LUDLOW,West Midlands,0.5567136985720944,0.1260327952205415,0.3172535062073641,,,,,,,,,47202
268,269,SHROPSHIRE NORTH,West Midlands,0.5344336084021005,0.1474118529632408,0.31562265566391595,,,,,,,,0.0025318829707426855,53320
269,270,SHREWSBURY & ATCHAM,West Midlands,0.49537055837563454,0.18436548223350255,0.32026395939086294,,,,,,,,,49250
270,271,WREKIN THE,West Midlands,0.38955692402696535,0.3667255604919636,0.24371751548107107,,,,,,,,,58297
271,272,BURTON,West Midlands,0.5112525448909594,0.2976284367491425,0.19111901835989803,,,,,,,,,54521
272,273,CANNOCK & BURNTWOOD,West Midlands,0.40934371523915464,0.36943582538102765,0.22122045937981774,,,,,,,,,51243
273,274,STAFFORDSHIRE MID,West Midlands,0.5206659012629162,0.22426329889016455,0.25507079984691927,,,,,,,,,52260
274,275,NEWCASTLE UNDER LYME,West Midlands,0.36424443916726035,0.41973402992163383,0.21602153091110585,,,,,,,,,50532
275,276,STAFFORDSHIRE SOUTH EAST,West Midlands,0.5069992154271793,0.2819919890985671,0.21100879547425364,,,,,,,,,48434
276,277,STAFFORDSHIRE SOUTH,West Midlands,0.5920919473760301,0.17290732976724013,0.2350007228567298,,,,,,,,,55336
277,278,STAFFORD,West Midlands,0.5118143772452872,0.23682456205325728,0.24743528017480834,,,,,,,,0.003925780526647161,54002
278,279,STAFFORDSHIRE MOORLANDS,West Midlands,0.5374897251706515,0.24146742432364818,0.2210428505057003,,,,,,,,,55962
279,280,STOKE-ON-TRENT CENTRAL,West Midlands,0.29351473922902493,0.4805895691609977,0.2144671201814059,,,,,,,,0.011428571428571429,44100
280,281,STOKE-ON-TRENT NORTH,West Midlands,0.3091810949929808,0.46272344408048666,0.22809546092653252,,,,,,,,,53425
281,282,STOKE-ON-TRENT SOUTH,West Midlands,0.33571297821709684,0.4802204730815384,0.18406654870136474,,,,,,,,,49167
282,283,WARWICKSHIRE NORTH,West Midlands,0.4194597018271494,0.37116541493853455,0.20937488323431602,,,,,,,,,53526
283,284,NUNEATON,West Midlands,0.4049060522345657,0.305746585944082,0.27947256019906347,,,,,,,,0.009874801622288838,51039
284,285,RUGBY & KENILWORTH,West Midlands,0.5091177835450218,0.22652664867744873,0.2643555677775295,,,,,,,,,58183
285,286,STRATFORD-ON-AVON,West Midlands,0.6090060111635895,0.1025296980105911,0.28846429082581937,,,,,,,,,55896
286,287,WARWICK & LEAMINGTON,West Midlands,0.5084771768316072,0.21985040276179516,0.2585347142309168,,,,,,,,0.01313770617568086,52140
287,288,ALDRIDGE-BROWNHILLS,West Midlands,0.5071937157379597,0.24918611245300457,0.24362017180903572,,,,,,,,,47611
288,289,BIRMINGHAM EDGBASTON,West Midlands,0.536957832976915,0.20965619345287054,0.2239129242748259,,,,,,,,0.029473049295388496,36474
289,290,BIRMINGHAM ERDINGTON,West Midlands,0.39151395695717023,0.3976667376944385,0.21081930534839122,,,,,,,,,37544
290,291,BIRMINGHAM HALL GREEN,West Midlands,0.490693032539572,0.27315137167525416,0.23615559578517384,,,,,,,,,43086
291,292,BIRMINGHAM HODGE HILL,West Midlands,0.3528445067427135,0.475905070327227,0.15846585141862826,,,,,,,,0.012784571511431196,41378
292,293,BIRMINGHAM LADYWOOD,West Midlands,0.27084599730422604,0.5095012818140973,0.20503739725665354,,,,,,,,0.014615323625023125,37837
293,294,BIRMINGHAM NORTHFIELD,West Midlands,0.4271697827854132,0.37499291075108226,0.1898973476756716,,,,,,,,0.007939958787832959,52897
294,295,BIRMINGHAM PERRY BARR,West Midlands,0.3817800477734838,0.5255277416347853,0.09269221059173091,,,,,,,,,51493
295,296,BIRMINGHAM SMALL HEATH,West Midlands,0.21044784361367275,0.6315644154840134,0.15798774090231377,,,,,,,,,36218
296,297,BIRMINGHAM SPARKBROOK,West Midlands,0.27933147294346033,0.5992780878427566,0.10361562727493327,,,,,,,,0.017774811938849795,32968
297,298,BIRMINGHAM YARDLEY,West Midlands,0.43203382095073384,0.36321491196464173,0.1947827340203214,,,,,,,,0.009968533064303044,41631
298,299,BIRMINGHAM SELLY OAK,West Midlands,0.4490855503288896,0.3437628091269299,0.2071516405441805,,,,,,,,,51233
299,300,COVENTRY NORTH EAST,West Midlands,0.28917246879782715,0.47832553728093813,0.22096958461770602,,,,,,,,0.0115324093035287,46391
300,301,COVENTRY NORTH WEST,West Midlands,0.3648860453762944,0.4429456049744341,0.19216834964927157,,,,,,,,,38919
301,302,COVENTRY SOUTH EAST,West Midlands,0.33888068715608644,0.41087102402362097,0.2502482888202926,,,,,,,,,37255
302,303,COVENTRY SOUTH WEST,West Midlands,0.44997671452001536,0.31943628890193776,0.22625387247656265,,,,,,,,0.004333124101484196,49387
303,304,DUDLEY EAST,West Midlands,0.3491881960328471,0.45822865499268817,0.19258314897446474,,,,,,,,,53338
304,305,DUDLEY WEST,West Midlands,0.4616453208646744,0.31386799484990174,0.22448668428542387,,,,,,,,,59028
305,306,HALESOWEN & STOURBRIDGE,West Midlands,0.4839234630076914,0.25028692807098685,0.25581992908165885,,,,,,,,0.009969679839662881,58377
306,307,MERIDEN,West Midlands,0.5365973164480627,0.2535805819387909,0.20115332428765265,,,,,,,,0.008668777325493744,53064
