,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share,Con Vote
277,E14000742,HENLEY,,,,,,,,,,,,,,,,,na
278,E14000743,HEREFORD AND SOUTH HEREFORDSHIRE,,,,,,,,,,,,,,,,,na
279,E14000744,HERTFORD AND STORTFORD,,,,,,,,,,,,,,,,,na
280,E14000745,HERTSMERE,,,,,,,,,,,,,,,,,na
281,E14000746,HEXHAM,,,,,,,,,,,,,,,,,na
282,E14000747,HEYWOOD AND MIDDLETON,,,,,,,,,,,,,,,,,na
283,E14000748,HIGH PEAK,,,,,,,,,,,,,,,,,na
284,E14000749,HITCHIN AND HARPENDEN,,,,,,,,,,,,,,,,,na
285,E14000750,HOLBORN AND ST PANCRAS,,,,,,,,,,,,,,,,,na
286,E14000751,HORNCHURCH AND UPMINSTER,,,,,,,,,,,,,,,,,na
287,E14000752,HORNSEY AND WOOD GREEN,,,,,,,,,,,,,,,,,na
288,E14000753,HORSHAM,,,,,,,,,,,,,,,,,na
289,E14000754,HOUGHTON AND SUNDERLAND SOUTH,,,,,,,,,,,,,,,,,na
290,E14000755,HOVE,,,,,,,,,,,,,,,,,na
291,E14000756,HUDDERSFIELD,,,,,,,,,,,,,,,,,na
292,E14000757,HUNTINGDON,,,,,,,,,,,,,,,,,na
293,E14000758,HYNDBURN,,,,,,,,,,,,,,,,,na
294,E14000759,ILFORD NORTH,,,,,,,,,,,,,,,,,na
295,E14000760,ILFORD SOUTH,,,,,,,,,,,,,,,,,na
296,S14000038,INVERCLYDE,,,,,,,,,,,,,,,,,na
297,S14000039,"INVERNESS, NAIRN, BADENOCH AND STRATHSPEY",,,,,,,,,,,,,,,,,na
298,E14000761,IPSWICH,,,,,,,,,,,,,,,,,na
299,E14000762,ISLE OF WIGHT,,,,,,,,,,,,,,,,,na
300,E14000763,ISLINGTON NORTH,,,,,,,,,,,,,,,,,na
301,E14000764,ISLINGTON SOUTH AND FINSBURY,,,,,,,,,,,,,,,,,na
302,W07000077,ISLWYN,,,,,,,,,,,,,,,,,na
303,E14000765,JARROW,,,,,,,,,,,,,,,,,na
304,E14000766,KEIGHLEY,,,,,,,,,,,,,,,,,na
305,E14000767,KENILWORTH AND SOUTHAM,,,,,,,,,,,,,,,,,na
306,E14000768,KENSINGTON,,,,,,,,,,,,,,,,,na
307,E14000769,KETTERING,,,,,,,,,,,,,,,,,na
308,S14000040,KILMARNOCK AND LOUDOUN,,,,,,,,,,,,,,,,,na
309,E14000770,KINGSTON AND SURBITON,,,,,,,,,,,,,,,,,na
310,E14000771,KINGSTON UPON HULL EAST,,,,,,,,,,,,,,,,,na
311,E14000772,KINGSTON UPON HULL NORTH,,,,,,,,,,,,,,,,,na
312,E14000773,KINGSTON UPON HULL WEST AND HESSLE,,,,,,,,,,,,,,,,,na
313,E14000774,KINGSWOOD,,,,,,,,,,,,,,,,,na
314,S14000041,KIRKCALDY AND COWDENBEATH,,,,,,,,,,,,,,,,,na
315,E14000775,KNOWSLEY,,,,,,,,,,,,,,,,,na
316,N06000009,LAGAN VALLEY,,,,,,,,,,,,,,,,,na
317,S14000042,LANARK AND HAMILTON EAST,,,,,,,,,,,,,,,,,na
318,E14000776,LANCASTER AND FLEETWOOD,,,,,,,,,,,,,,,,,na
319,E14000777,LEEDS CENTRAL,,,,,,,,,,,,,,,,,na
320,E14000778,LEEDS EAST,,,,,,,,,,,,,,,,,na
321,E14000779,LEEDS NORTH EAST,,,,,,,,,,,,,,,,,na
322,E14000780,LEEDS NORTH WEST,,,,,,,,,,,,,,,,,na
323,E14000781,LEEDS WEST,,,,,,,,,,,,,,,,,na
324,E14000782,LEICESTER EAST,,,,,,,,,,,,,,,,,na
325,E14000783,LEICESTER SOUTH,,,,,,,,,,,,,,,,,na
326,E14000784,LEICESTER WEST,,,,,,,,,,,,,,,,,na
327,E14000785,LEIGH,,,,,,,,,,,,,,,,,na
328,E14000786,LEWES,,,,,,,,,,,,,,,,,na
329,E14000789,"LEWISHAM, DEPTFORD",,,,,,,,,,,,,,,,,na
330,E14000787,LEWISHAM EAST,,,,,,,,,,,,,,,,,na
331,E14000788,LEWISHAM WEST AND PENGE,,,,,,,,,,,,,,,,,na
332,E14000790,LEYTON AND WANSTEAD,,,,,,,,,,,,,,,,,na
333,E14000791,LICHFIELD,,,,,,,,,,,,,,,,,na
334,E14000792,LINCOLN,,,,,,,,,,,,,,,,,na
335,S14000043,LINLITHGOW AND EAST FALKIRK,,,,,,,,,,,,,,,,,na
336,E14000793,"LIVERPOOL, RIVERSIDE",,,,,,,,,,,,,,,,,na
337,E14000794,"LIVERPOOL, WALTON",,,,,,,,,,,,,,,,,na
338,E14000795,"LIVERPOOL, WAVERTREE",,,,,,,,,,,,,,,,,na
339,E14000796,"LIVERPOOL, WEST DERBY",,,,,,,,,,,,,,,,,na
340,S14000044,LIVINGSTON,,,,,,,,,,,,,,,,,na
341,W07000045,LLANELLI,,,,,,,,,,,,,,,,,na
342,E14000797,LOUGHBOROUGH,,,,,,,,,,,,,,,,,na
343,E14000798,LOUTH AND HORNCASTLE,,,,,,,,,,,,,,,,,na
344,E14000799,LUDLOW,,,,,,,,,,,,,,,,,na
345,E14000800,LUTON NORTH,,,,,,,,,,,,,,,,,na
346,E14000801,LUTON SOUTH,,,,,,,,,,,,,,,,,na
347,E14000802,MACCLESFIELD,,,,,,,,,,,,,,,,,na
348,E14000803,MAIDENHEAD,,,,,,,,,,,,,,,,,na
349,E14000804,MAIDSTONE AND THE WEALD,,,,,,,,,,,,,,,,,na
350,E14000805,MAKERFIELD,,,,,,,,,,,,,,,,,na
351,E14000806,MALDON,,,,,,,,,,,,,,,,,na
